agent,convergence
qfa-0-0,57.736314366944114
qfa-0-1,21.062778406343693
qfa-0-10,45.511355532191544
qfa-0-11,34.182060532560556
qfa-0-12,37.11849393397767
qfa-0-13,43.118755927610756
qfa-0-14,47.15721598520164
qfa-0-15,53.24460398986703
qfa-0-16,38.20382486662246
qfa-0-17,53.59551372693174
qfa-0-18,36.480695967330945
qfa-0-19,35.10876249924012
qfa-0-2,27.579152588110972
qfa-0-20,32.49401964739813
qfa-0-21,53.426041207386554
qfa-0-22,35.92412219889694
qfa-0-23,36.136639285418354
qfa-0-24,39.53501922339199
qfa-0-25,57.51295746389273
qfa-0-26,55.90177324981411
qfa-0-27,44.57263127914207
qfa-0-28,46.590083547864
qfa-0-3,28.249996294141905
qfa-0-4,34.08168443052124
qfa-0-5,41.55635935445045
qfa-0-6,45.859624602208434
qfa-0-7,48.53984684343308
qfa-0-8,43.06288516837941
qfa-0-9,23.964646984676715
qfa-1-0,61.74027075858368
qfa-1-1,41.76300660789459
qfa-1-10,36.0490893624681
qfa-1-11,31.69965007603206
qfa-1-12,32.561636786429005
qfa-1-13,42.74033864771552
qfa-1-14,49.20234747682098
qfa-1-15,29.882815456085133
qfa-1-16,40.20129829566135
qfa-1-17,44.31658042344042
qfa-1-18,35.44191255658119
qfa-1-19,60.17558483789877
qfa-1-2,47.3877699498181
qfa-1-20,44.782611754964016
qfa-1-21,39.382181867273275
qfa-1-22,53.88019112119163
qfa-1-23,45.86493352183565
qfa-1-24,45.435702722740665
qfa-1-25,34.80058759744669
qfa-1-26,38.690991973010696
qfa-1-27,56.491490836946745
qfa-1-28,43.36775226254992
qfa-1-3,38.10047015148168
qfa-1-4,42.38274819734614
qfa-1-5,48.328355919268624
qfa-1-6,35.105029460195595
qfa-1-7,38.039605146449375
qfa-1-8,34.85294720171364
qfa-1-9,34.92099685979137
qfa-2-0,62.75541167440068
qfa-2-1,40.27475769101355
qfa-2-10,52.085451154835866
qfa-2-11,43.58842130825741
qfa-2-12,41.74910331244143
qfa-2-13,39.903536076264984
qfa-2-14,32.35839906695875
qfa-2-15,34.244717738283235
qfa-2-16,45.04684901620044
qfa-2-17,50.397399821268024
qfa-2-18,43.91316247352771
qfa-2-19,30.60216882405173
qfa-2-2,31.837804186968235
qfa-2-20,32.8526258084938
qfa-2-21,58.028131542450254
qfa-2-22,52.111014283072755
qfa-2-23,31.771446768959468
qfa-2-24,39.198168872596895
qfa-2-25,31.993053151454838
qfa-2-26,30.820457260592946
qfa-2-27,55.42326802995953
qfa-2-28,32.93308699959248
qfa-2-3,53.48517292536853
qfa-2-4,42.01455374281829
qfa-2-5,32.12094977725236
qfa-2-6,31.96694481645228
qfa-2-7,36.368817741673354
qfa-2-8,34.18754219561748
qfa-2-9,36.885753081574144
qfa-3-0,44.2134175668157
qfa-3-1,60.19105408936069
qfa-3-10,52.15869403952454
qfa-3-11,34.20191047274175
qfa-3-12,36.01593957663546
qfa-3-13,30.501274939080574
qfa-3-14,34.4430915406584
qfa-3-15,42.76987538594005
qfa-3-16,49.76341049587186
qfa-3-17,41.503521259827124
qfa-3-18,26.85006853900874
qfa-3-19,36.76780734170042
qfa-3-2,46.59938169073262
qfa-3-20,34.39487420120431
qfa-3-21,40.97763272021087
qfa-3-22,43.697122389359166
qfa-3-23,47.606490193225945
qfa-3-24,48.69987508817394
qfa-3-25,39.18218747971756
qfa-3-26,35.38507591290678
qfa-3-27,42.39230609290502
qfa-3-28,33.62625657042716
qfa-3-3,46.558062074265855
qfa-3-4,34.43633542196157
qfa-3-5,43.59303301611956
qfa-3-6,31.149627940873867
qfa-3-7,29.56115307889886
qfa-3-8,39.44315492311653
qfa-3-9,55.17221204090658
