agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-0-0,[57.736314366944114]
qfa-0-1,[21.062778406343693]
qfa-0-10,[45.511355532191544]
qfa-0-11,[34.182060532560556]
qfa-0-12,[37.11849393397767]
qfa-0-13,[43.118755927610756]
qfa-0-14,[47.15721598520164]
qfa-0-15,[53.24460398986703]
qfa-0-16,[38.20382486662246]
qfa-0-17,[53.59551372693174]
qfa-0-18,[36.480695967330945]
qfa-0-19,[35.10876249924012]
qfa-0-2,[27.579152588110972]
qfa-0-20,[32.49401964739813]
qfa-0-21,[53.426041207386554]
qfa-0-22,[35.92412219889694]
qfa-0-23,[36.136639285418354]
qfa-0-24,[39.53501922339199]
qfa-0-25,[57.51295746389273]
qfa-0-26,[55.90177324981411]
qfa-0-27,[44.57263127914207]
qfa-0-28,[46.590083547864]
qfa-0-3,[28.249996294141905]
qfa-0-4,[34.08168443052124]
qfa-0-5,[41.55635935445045]
qfa-0-6,[45.859624602208434]
qfa-0-7,[48.53984684343308]
qfa-0-8,[43.06288516837941]
qfa-0-9,[23.964646984676715]
